Date,Open,High,Low,Close,Volume,Adj Close
2010-01-01,23.99998,23.99998,23.99998,23.99998,0,29.28827
2010-01-04,23.90003,24.31999,23.89002,24.26,1563900,29.6056
2010-01-05,24.11501,24.62498,24.05996,24.30497,1550300,29.66047
2010-01-06,24.20503,24.565,24.18,24.565,1133900,29.9778
2010-01-07,24.45004,24.45004,23.80001,24.11501,2648700,29.42866
2010-01-08,23.99998,24.08498,23.27502,23.30497,3064200,28.44013
2010-01-11,23.31999,23.45497,22.43002,22.43002,4640500,27.37239
2010-01-12,22.65001,22.92998,22.60004,22.80001,3098000,27.82389
2010-01-13,22.80001,23.39999,22.75003,23.18,3732600,28.28762
2010-01-14,23.46998,23.59996,23.09499,23.15998,1851800,28.26319
2010-01-15,23.28996,23.43002,22.69498,22.85999,2738400,27.89709
2010-01-18,22.90003,22.98504,22.62499,22.89503,1132900,27.93985
2010-01-19,22.80501,22.91997,22.62499,22.67496,2392200,27.67129
2010-01-20,22.98997,23.87,22.87501,23.37997,6490400,28.53165
2010-01-21,23.74503,24.06997,23.65001,23.76998,4068900,29.00759
2010-01-22,23.53998,23.82003,23.335,23.37997,3842600,28.53165
2010-01-25,22.70999,23.18501,22.69998,22.76998,3091000,27.78725
2010-01-26,22.99998,23.37004,22.81002,23.22998,2716300,28.34861
2010-01-27,23.08999,23.13503,22.715,23.04502,2130900,28.1229
2010-01-28,23.44003,23.73001,22.83497,22.83497,3445800,27.86656
2010-01-29,22.97002,23.31999,22.68997,22.97002,2648500,28.03137
2010-02-01,22.65001,22.98504,22.335,22.92998,2803200,27.98251
2010-02-02,22.99497,23.34001,22.83997,23.23999,1960500,28.36082
2010-02-03,23.41,23.66002,23.08999,23.46998,2234600,28.6415
2010-02-04,23.53998,23.81502,22.74002,22.87501,3191100,27.91542
2010-02-05,22.67003,22.82503,22.05003,22.66503,4683000,27.65917
2010-02-08,22.62499,22.84998,22.07998,22.51003,2764800,27.47002
2010-02-09,22.56,22.98997,22.51503,22.76998,2071000,27.78725
2010-02-10,22.90496,23.13503,22.61498,22.83997,2081500,27.87266
2010-02-11,23.00999,23.09499,22.50502,22.91004,2139000,27.95817
2010-02-12,23.14497,23.28996,22.75003,22.945,2391600,28.00083
2010-02-15,22.99998,23.14497,22.49501,22.61498,1050300,27.59809
2010-02-16,22.795,23.24999,22.76497,23.24999,1525100,28.37304
2010-02-17,23.50001,23.52997,23.20002,23.30497,1840200,28.44013
2010-02-18,23.21003,23.60997,23.18,23.38998,1349100,28.54387
2010-02-19,23.27002,23.54498,23.12002,23.53998,1565400,28.72691
2010-02-22,23.50001,23.69998,23.28003,23.61998,1425800,28.82455
2010-02-23,23.64,23.73001,23.02,23.1,1866200,28.18999
2010-02-24,22.75003,22.99497,22.54999,22.83997,2863300,27.87266
2010-02-25,22.67996,23.03001,22.21003,22.22998,2256100,27.12826
2010-02-26,22.55499,22.65001,22.26501,22.51003,2119600,27.47002
2010-03-01,22.79,23.29997,22.68497,23.21003,2125000,28.32427
2010-03-02,23.59503,24.175,23.53998,24.13503,3004000,29.45309
2010-03-03,24.26,24.47499,23.945,24.36996,1977900,29.73978
2010-03-04,24.27502,24.38998,24.08498,24.19502,1940400,29.52629
2010-03-05,24.34501,24.74002,24.24999,24.61497,2173000,30.03878
2010-03-08,24.77999,25.175,24.60997,25.11001,2041900,30.6429
2010-03-09,25.16999,25.33,24.77498,25.04502,1838300,30.56359
2010-03-10,24.92998,25.33,24.83504,25.29997,1226600,30.87471
2010-03-11,25.29997,25.50001,24.95,25.07998,1492400,30.60625
2010-03-12,25.24499,25.24499,24.91004,25.03,1681200,30.54526
2010-03-15,25.07497,25.07998,24.33,24.37997,1486600,29.752
2010-03-16,24.45997,24.91497,24.42502,24.76998,1609900,30.22794
2010-03-17,24.875,25.27502,24.875,25.22004,1731500,30.77717
2010-03-18,25.04001,25.16999,24.79,24.945,1619500,30.44152
2010-03-19,25.1,25.13996,24.70499,24.83504,1492100,30.30734
2010-03-22,24.64,25.20002,24.46998,25.20002,1578800,30.75274
2010-03-23,25.35002,26.20002,25.30497,25.97502,3485500,31.69851
2010-03-24,26.20002,26.54498,25.96001,26.35502,2343800,32.16224
2010-03-25,26.15998,26.69998,25.95,26.57,1817700,32.4246
2010-03-26,26.37997,26.72,26.24999,26.43002,1539600,32.41345
2010-03-29,26.50001,26.73501,26.29003,26.44503,930600,32.43187
2010-03-30,26.46998,26.52504,25.93499,25.97502,1320200,31.85545
2010-03-31,26.1,26.47499,26.06003,26.45997,1681000,32.45019
2010-04-01,26.47999,26.8,26.45004,26.53497,1316500,32.54216
2010-04-02,26.53497,26.53497,26.53497,26.53497,0,32.54216
2010-04-05,26.53497,26.53497,26.53497,26.53497,0,32.54216
2010-04-06,26.65001,26.96001,26.61998,26.75003,1123300,32.80591
2010-04-07,26.87,27.06997,26.645,26.74502,1490100,32.79977
2010-04-08,26.80501,26.80501,25.99497,26.29997,1512600,32.25396
2010-04-09,26.65501,26.87,26.54998,26.66002,2097000,32.69552
2010-04-12,26.83504,26.96501,26.37997,26.39498,2147200,32.37049
2010-04-13,26.28002,26.33,26.03,26.15497,1802400,32.07614
2010-04-14,26.65001,26.75003,25.50001,25.715,5753300,31.53656
2010-04-15,25.92498,26.01499,25.54999,25.875,2654300,31.73279
2010-04-16,25.75003,25.88001,25.52997,25.59002,3518500,31.38329
2010-04-19,25.37504,25.88001,25.24999,25.68004,1762300,31.49369
2010-04-20,25.82996,26.51002,25.75003,26.51002,2376700,32.51157
2010-04-21,27.20002,27.24999,26.47999,26.53997,2248800,32.5483
2010-04-22,26.41,26.67003,25.96501,26.26,2540200,32.20495
2010-04-23,26.51503,26.84997,26.26501,26.54998,2283200,32.56058
2010-04-26,26.8,27.09499,26.67503,26.82503,1373100,32.89789
2010-04-27,26.8,26.84997,25.91997,25.91997,2167900,31.78794
2010-04-28,25.62999,25.89502,25.05503,25.08999,3195500,30.77005
2010-04-29,25.1,25.36503,24.72,25.05996,2835500,30.73322
2010-04-30,25.24999,25.47999,24.75997,24.84998,2192000,30.47571
2010-05-03,24.65001,25.03501,24.50001,25.00498,1283600,30.6658
2010-05-04,25.34501,25.43002,24.44496,24.58502,2688900,30.15077
2010-05-05,24.91004,24.97002,23.92998,24.58002,3551200,30.14463
2010-05-06,24.14004,24.70999,24.07497,24.50001,3161800,30.04652
2010-05-07,23.83496,24.24999,22.90003,23.39999,3668500,28.69746
2010-05-10,23.99998,24.62999,23.90003,24.52504,3287400,30.07721
2010-05-11,24.16999,24.45004,23.92998,24.43002,1890600,29.96068
2010-05-12,24.21996,25.27502,24.11501,25.13996,2428000,30.83134
2010-05-13,25.37504,25.45497,24.52997,24.72,2296200,30.31631
2010-05-14,24.59003,24.67003,23.72,23.83496,2367200,29.23091
2010-05-17,23.90003,24.54498,23.52997,24.22497,2354200,29.70921
2010-05-18,24.38998,24.485,23.61998,23.84497,3671800,29.24319
2010-05-19,23.50001,23.68004,23.02,23.08999,2193800,28.31728
2010-05-20,23.28003,23.405,22.21997,22.51003,3241100,27.60602
2010-05-21,22.49501,22.77999,22.025,22.65001,3435300,27.7777
2010-05-24,22.95501,23.12502,22.44496,22.99998,1785600,28.20689
2010-05-25,22.19502,22.33,21.65001,21.96002,2608600,26.93149
2010-05-26,22.46999,23.30998,22.21997,23.04502,2932400,28.26213
2010-05-27,23.01499,23.49,22.90003,23.29997,2090000,28.5748
2010-05-28,23.43503,23.70999,23.02,23.12002,1577600,28.35411
